,command,neutralization,decay,truncation,sharpe,fitness,turnover,weight,subsharpe,correlation
46,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 21))))",Sector,10,0.08,1.95,0.83,56.07,Weight is well distributed over instruments.,1.58,-1
47,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 5)), 21))))",Market,10,0.08,1.78,0.81,56.44,Weight is well distributed over instruments.,1.52,-1
48,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Subindustry,10,0.01,2.24,0.87,54.61,Weight is well distributed over instruments.,1.7,-1
49,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Industry,10,0.01,2.04,0.82,55.37,Weight is well distributed over instruments.,1.64,-1
50,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Sector,10,0.01,1.99,0.85,55.99,Weight is well distributed over instruments.,1.61,-1
51,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Market,10,0.01,1.78,0.8,56.32,Weight is well distributed over instruments.,1.53,-1
52,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Subindustry,10,0.08,2.24,0.87,54.61,Weight is well distributed over instruments.,1.7,-1
53,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Industry,10,0.08,2.04,0.82,55.37,Weight is well distributed over instruments.,1.64,-1
54,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Sector,10,0.08,1.99,0.85,55.99,Weight is well distributed over instruments.,1.61,-1
55,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 1))))",Market,10,0.08,1.78,0.8,56.32,Weight is well distributed over instruments.,1.53,-1
56,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Subindustry,10,0.01,2.19,0.85,54.62,Weight is well distributed over instruments.,1.67,-1
